[학비]를 내다	交「學費」
[학습]을 하다	學習
[학용품]을 준비하다	準備「學用品」
면접 [합격]	面試「合格」
[합격자]를 발표하다	發表「合格者」
[합계]를 내다	算出「合計」
[합리적] 방법	「合理的」方法
숫자를[헤아리다]	計「數」
[휴학]을 결심하다	決心「休學」
[흥미]가 생기다	產生「興趣」
학업에 [힘쓰다]	「用功」學習
[실례]를 들다	舉「實例」
