[구경거리]가 많다	很多「可看的」
창밖을 [내다보다]	「眺望」窗外
아래를 [내려다보다]	向下看
할아버지께서 [눈감다]	爺爺「閉上眼睛」
뒤를 [돌아보다]	「回頭看」後面
주위를 [두리번거리다]	「看看」周圍
주위를 [둘러보다]	「環視」周圍
방 안을 [들여다보다]	「進」房裡「看」
[볼거리]가 많다	「值得看的東西」很多
주위를 [살펴보다]	「查看」周圍
주위를 [살피다]	「查看」周圍
몰래 [엿보다]	偷偷「窺看」
나무를 [올려다보다]	「仰望」樹木
몰래  [지켜보다]	暗中「觀看」
인상을 [찌푸리다]	皺眉
얼굴을 [찡그리다]	皺眉
[한눈]에 알아보다	「一目」了然
방을 [가꾸다]	「裝飾」房間
