[이따] 만나요	「待會」見
[이어] 말하다	「接著」說
[이왕]의 일	「以往」的事
[이윽고] 밤이 되다	「不一會」天黑了
주소 [이전]	住所「遷移」
[이제야] 알다	「現在」了解
[이튿날]이 되다	到了「第二天」
[인스턴트] 커피	「即溶」咖啡
[일단]:먼저	「首先」
모임 [일시]	聚會「日期」
[일시적] 감정	「一時的」感情
[일정] 기준	「一定的」標準
[일정]을 짜다	編「日程」
[일정표]가 바뀌다	更換「行程表」
[일찍이] 나서다	「提早」站出來
[일회용] 젓가락	「一回用」筷子
[일회용품]을 사용하다	使用「一回用品」
[임시]로 맡다	「臨時」承辦
[장기간] 머물다	「長期」停留
[장기적] 목표	「長期的」目標
[장래]를 준비하다	準備「未來」
[재]등록	「重新」註冊
[재생]의 기회	「再生」的機會
[저]학년	「初」學年
[저녁때]에 만나다	「晚上」見面
[적어도] 일주일	「至少」一週
시험 [전날]	考試「前夕」
겨울에 [접어들다]	「進入」冬季
[정기] 휴일	「例」假
[정기적] 모임	「定期」聚會
[정오] 뉴스	「中午」新聞
[제때]를 놓치다	錯過「那時」
[제시간]에 맞추다	「按」時
목표 [조기] 달성.	目標「提前」達成
[종일] 흐리다	「一整天」陰陰的
[종종] 들르다	不時地
[주간] 계획	「周」計畫
[중반]에 들어서다	進入「中期」（中盤）
내달 [중순]	下月「中旬」
[즉석]으로 만들다	「即刻」做
[즉시] 시작하다	「立即」開始
[지금껏] 모르다	「迄今為止」不知道
[지난날]을 기억하다	記得「過去」
식사 [직후]	用餐「之後」
줄을 [쭉] 긋다	沿著「直直地」畫線
[초기] 단계	「早期的」階段
[초저녁]이 지나다	過了「傍晚」
[틈틈이] 하다	「抽空」做
[한낮]이 되다	到「正午」
[한동안] 계속되다	繼續「一陣子」
[한때]를 보내다	度過「一段時期」
[한밤중]이 지나다	過了「午夜」
[한순간]에 사라지다	「一會兒」消失
[한참]을 기다리다	等了「很久」
[한창] 붐비다	「正」擁擠
[해돋이]를 감상하다	觀察「日出」
강물의 [흐름]	江水「流動」
시간이 [넉넉하다]	時間「寬裕」
